id,clientID,topic,message,timestamp
698,t1g2:110,t1g2,24.00;67.28;38,2024-07-11 14:55:42
699,t1g2:110,t1g2,24.31;67.35;38,2024-07-11 15:10:42
700,t1g2:110,t1g2,24.24;68.15;37,2024-07-11 15:25:42
701,t1g2:110,t1g2,24.18;67.03;38,2024-07-11 15:40:42
702,t1g2:110,t1g2,24.38;66.75;44,2024-07-11 15:55:42
703,t1g2:110,t1g2,24.71;67.23;38,2024-07-11 16:10:42
704,t1g2:110,t1g2,24.73;67.36;36,2024-07-11 16:25:42
705,t1g2:110,t1g2,24.82;67.35;37,2024-07-11 16:40:42
706,t1g2:110,t1g2,24.96;67.40;38,2024-07-11 16:55:42
707,t1g2:110,t1g2,24.76;67.88;38,2024-07-11 17:10:42
708,t1g2:110,t1g2,24.76;67.92;38,2024-07-11 17:25:42
709,t1g2:110,t1g2,24.85;67.28;38,2024-07-11 17:40:42
710,t1g2:110,t1g2,24.73;67.48;38,2024-07-11 17:55:42
711,t1g2:110,t1g2,24.47;67.28;38,2024-07-11 18:10:42
712,t1g2:110,t1g2,24.25;67.36;38,2024-07-11 18:25:42
713,t1g2:110,t1g2,24.14;67.81;38,2024-07-11 18:40:42
714,t1g2:110,t1g2,23.96;68.09;38,2024-07-11 18:55:42
715,t1g2:110,t1g2,24.34;67.08;38,2024-07-11 19:10:42
716,t1g2:110,t1g2,24.66;68.29;36,2024-07-11 19:25:42
717,t1g2:110,t1g2,24.90;70.06;36,2024-07-11 19:40:42
718,t1g2:110,t1g2,25.07;69.60;36,2024-07-11 19:55:42
719,t1g2:110,t1g2,25.23;69.66;36,2024-07-11 20:10:42
720,t1g2:110,t1g2,25.29;70.43;36,2024-07-11 20:25:42
721,t1g2:110,t1g2,25.30;70.47;35,2024-07-11 20:40:42
722,t1g2:110,t1g2,25.41;71.69;35,2024-07-11 20:55:42
723,t1g2:110,t1g2,25.51;72.38;35,2024-07-11 21:10:42
724,t1g2:110,t1g2,25.54;73.59;34,2024-07-11 21:25:42
725,t1g2:110,t1g2,25.61;75.08;33,2024-07-11 21:40:42
726,t1g2:110,t1g2,25.52;75.20;35,2024-07-11 21:55:42
727,t1g2:110,t1g2,25.62;75.57;34,2024-07-11 22:10:42
728,t1g2:110,t1g2,25.72;77.00;34,2024-07-11 22:25:42
729,t1g2:110,t1g2,25.68;77.43;35,2024-07-11 22:40:42
730,t1g2:110,t1g2,25.81;78.35;34,2024-07-11 22:55:42
731,t1g2:110,t1g2,25.84;78.77;35,2024-07-11 23:10:42
732,t1g2:110,t1g2,25.87;79.03;35,2024-07-11 23:25:42
733,t1g2:110,t1g2,25.81;78.63;35,2024-07-11 23:40:42
734,t1g2:110,t1g2,25.91;79.22;35,2024-07-11 23:55:42
735,t1g2:110,t1g2,25.96;79.61;35,2024-07-12 00:10:42
736,t1g2:110,t1g2,25.96;80.08;36,2024-07-12 00:25:42
737,t1g2:110,t1g2,25.95;79.93;36,2024-07-12 00:40:42
738,t1g2:110,t1g2,25.99;80.26;36,2024-07-12 00:55:42
739,t1g2:110,t1g2,26.03;80.60;36,2024-07-12 01:10:42
740,t1g2:110,t1g2,26.05;80.38;35,2024-07-12 01:25:42
741,t1g2:110,t1g2,26.05;81.04;36,2024-07-12 01:40:42
742,t1g2:110,t1g2,26.05;81.11;35,2024-07-12 01:55:42
743,t1g2:110,t1g2,26.08;81.63;34,2024-07-12 02:10:42
744,t1g2:110,t1g2,26.16;81.61;36,2024-07-12 02:25:42
745,t1g2:110,t1g2,26.12;81.50;36,2024-07-12 02:40:42
746,t1g2:110,t1g2,26.13;81.66;36,2024-07-12 02:55:42
747,t1g2:110,t1g2,26.16;81.45;31,2024-07-12 03:10:42
748,t1g2:110,t1g2,26.12;81.35;36,2024-07-12 03:25:42
749,t1g2:110,t1g2,26.17;81.37;37,2024-07-12 03:40:42
750,t1g2:110,t1g2,26.17;81.48;37,2024-07-12 03:55:42
751,t1g2:110,t1g2,26.16;81.39;37,2024-07-12 04:10:42
752,t1g2:110,t1g2,26.17;81.28;37,2024-07-12 04:25:42
753,t1g2:110,t1g2,26.20;81.60;37,2024-07-12 04:40:42
754,t1g2:110,t1g2,26.19;81.88;37,2024-07-12 04:55:42
755,t1g2:110,t1g2,26.20;81.80;38,2024-07-12 05:10:42
756,t1g2:110,t1g2,26.23;82.32;38,2024-07-12 05:25:42
757,t1g2:110,t1g2,26.25;82.55;40,2024-07-12 05:40:42
758,t1g2:110,t1g2,26.26;82.66;37,2024-07-12 05:55:42
759,t1g2:110,t1g2,26.25;82.77;36,2024-07-12 06:10:42
760,t1g2:110,t1g2,26.23;82.81;36,2024-07-12 06:25:42
761,t1g2:110,t1g2,26.33;78.35;37,2024-07-12 06:40:42
762,t1g2:110,t1g2,25.79;76.86;39,2024-07-12 06:55:43
763,t1g2:110,t1g2,25.36;75.61;40,2024-07-12 07:10:42
764,t1g2:110,t1g2,25.12;74.01;42,2024-07-12 07:25:42
765,t1g2:110,t1g2,24.89;72.62;43,2024-07-12 07:40:42
766,t1g2:110,t1g2,24.51;71.23;43,2024-07-12 07:55:42
767,t1g2:110,t1g2,24.14;69.75;43,2024-07-12 08:10:42
768,t1g2:110,t1g2,23.89;68.60;43,2024-07-12 08:25:42
769,t1g2:110,t1g2,23.68;67.85;44,2024-07-12 08:40:42
770,t1g2:110,t1g2,23.53;67.19;44,2024-07-12 08:55:42
771,t1g2:110,t1g2,23.52;66.73;42,2024-07-12 09:10:42
772,t1g2:110,t1g2,23.56;66.13;42,2024-07-12 09:25:42
773,t1g2:110,t1g2,23.46;65.99;42,2024-07-12 09:40:42
774,t1g2:110,t1g2,23.38;65.81;42,2024-07-12 09:55:42
775,t1g2:110,t1g2,23.28;65.90;43,2024-07-12 10:10:42
776,t1g2:110,t1g2,23.28;65.79;44,2024-07-12 10:25:42
777,t1g2:110,t1g2,23.21;65.83;43,2024-07-12 10:40:41
778,t1g2:110,t1g2,23.31;65.81;44,2024-07-12 10:55:41
779,t1g2:110,t1g2,23.35;65.79;43,2024-07-12 11:10:41
780,t1g2:110,t1g2,23.37;65.70;42,2024-07-12 11:25:41
781,t1g2:110,t1g2,23.33;65.66;43,2024-07-12 11:40:41
782,t1g2:110,t1g2,23.50;66.05;43,2024-07-12 11:55:42
783,t1g2:110,t1g2,23.63;66.49;42,2024-07-12 12:10:41
784,t1g2:110,t1g2,23.77;67.62;40,2024-07-12 12:25:41
785,t1g2:110,t1g2,23.90;66.82;41,2024-07-12 12:40:41
786,t1g2:110,t1g2,23.95;67.45;42,2024-07-12 12:55:41
787,t1g2:110,t1g2,24.01;67.29;41,2024-07-12 13:10:41
788,t1g2:110,t1g2,23.99;67.90;41,2024-07-12 13:25:41
789,t1g2:110,t1g2,23.73;67.67;45,2024-07-12 13:40:41
790,t1g2:110,t1g2,23.59;67.95;42,2024-07-12 13:55:41
791,t1g2:110,t1g2,23.37;68.37;42,2024-07-12 14:10:41
792,t1g2:110,t1g2,23.33;68.45;42,2024-07-12 14:25:41
