id,clientID,topic,message,timestamp
207,t2g2:114,t2g2,25.97;78.92;42;Min;,2024-07-02 02:35:23
208,t2g2:114,t2g2,25.96;79.19;42;Min;,2024-07-02 02:45:23
209,t2g2:114,t2g2,25.97;79.25;42;Min;,2024-07-02 02:55:24
210,t2g2:114,t2g2,25.97;79.16;37;Min;,2024-07-02 03:05:24
211,t2g2:114,t2g2,26.00;79.38;42;Min;,2024-07-02 03:15:24
212,t2g2:114,t2g2,26.02;79.39;42;Min;,2024-07-02 03:25:25
213,t2g2:114,t2g2,26.02;79.70;42;Min;,2024-07-02 03:35:25
214,t2g2:114,t2g2,26.05;79.75;42;Min;,2024-07-02 03:45:26
215,t2g2:114,t2g2,26.05;79.99;42;Min;,2024-07-02 03:55:26
216,t2g2:114,t2g2,26.05;79.73;44;Min;,2024-07-02 04:05:26
217,t2g2:114,t2g2,26.06;79.90;43;Min;,2024-07-02 04:15:27
218,t2g2:114,t2g2,26.07;79.86;43;Min;,2024-07-02 04:25:27
219,t2g2:114,t2g2,26.07;80.09;42;Min;,2024-07-02 04:35:28
220,t2g2:114,t2g2,26.07;80.14;43;Min;,2024-07-02 04:45:28
221,t2g2:114,t2g2,26.13;80.31;45;Min;,2024-07-02 04:55:28
222,t2g2:114,t2g2,26.10;80.43;43;Min;,2024-07-02 05:05:29
223,t2g2:114,t2g2,26.10;80.66;44;Min;,2024-07-02 05:15:29
224,t2g2:114,t2g2,26.13;80.60;43;Min;,2024-07-02 05:25:30
225,t2g2:114,t2g2,26.12;80.94;42;Min;,2024-07-02 05:35:30
226,t2g2:114,t2g2,26.15;80.93;42;Min;,2024-07-02 05:45:30
227,t2g2:114,t2g2,26.19;81.14;41;Min;,2024-07-02 05:55:31
228,t2g2:114,t2g2,26.17;81.23;42;Min;,2024-07-02 06:05:31
229,t2g2:114,t2g2,26.16;81.00;42;Min;,2024-07-02 06:15:32
230,t2g2:114,t2g2,26.19;81.04;42;Min;,2024-07-02 06:25:32
231,t2g2:114,t2g2,26.26;77.92;44;Min;,2024-07-02 06:35:32
232,t2g2:114,t2g2,25.88;76.03;46;Min;,2024-07-02 06:45:33
233,t2g2:114,t2g2,25.58;74.06;53;Min;,2024-07-02 06:55:33
234,t2g2:114,t2g2,25.20;73.17;51;Min;,2024-07-02 07:05:34
235,t2g2:114,t2g2,24.91;72.47;53;Min;,2024-07-02 07:15:34
236,t2g2:114,t2g2,24.74;71.18;53;Min;,2024-07-02 07:25:35
237,t2g2:114,t2g2,24.59;70.00;54;Min;,2024-07-02 07:35:35
238,t2g2:114,t2g2,24.49;68.72;55;Min;,2024-07-02 07:45:36
239,t2g2:114,t2g2,24.14;67.23;55;Min;,2024-07-02 07:55:36
240,t2g2:114,t2g2,24.02;65.41;53;Min;,2024-07-02 08:05:36
241,t2g2:114,t2g2,23.88;64.39;55;Min;,2024-07-02 08:15:37
242,t2g2:114,t2g2,23.67;63.69;56;Min;,2024-07-02 08:25:37
243,t2g2:114,t2g2,23.46;63.25;56;Min;,2024-07-02 08:35:38
244,t2g2:114,t2g2,23.42;62.59;56;Min;,2024-07-02 08:45:38
245,t2g2:114,t2g2,23.24;62.43;56;Min;,2024-07-02 08:55:39
246,t2g2:114,t2g2,23.12;62.14;57;Min;,2024-07-02 09:05:39
247,t2g2:114,t2g2,22.89;62.36;55;Min;,2024-07-02 09:15:40
248,t2g2:114,t2g2,22.91;62.24;55;Min;,2024-07-02 09:25:40
249,t2g2:114,t2g2,22.98;61.91;55;Min;,2024-07-02 09:35:40
250,t2g2:114,t2g2,22.98;61.86;55;Min;,2024-07-02 09:45:41
251,t2g2:114,t2g2,22.88;62.14;55;Min;,2024-07-02 09:55:41
252,t2g2:114,t2g2,22.99;61.78;54;Min;,2024-07-02 10:05:42
253,t2g2:114,t2g2,22.93;61.99;55;Min;,2024-07-02 10:15:42
254,t2g2:114,t2g2,22.71;62.37;54;Min;,2024-07-02 10:25:42
255,t2g2:114,t2g2,22.82;62.21;53;Min;,2024-07-02 10:35:43
256,t2g2:114,t2g2,22.76;62.31;52;Min;,2024-07-02 10:45:43
257,t2g2:114,t2g2,22.69;62.43;52;Min;,2024-07-02 10:55:44
258,t2g2:114,t2g2,22.79;62.09;51;Min;,2024-07-02 11:05:44
259,t2g2:114,t2g2,22.80;62.21;51;Min;,2024-07-02 11:15:44
260,t2g2:114,t2g2,22.74;62.52;50;Min;,2024-07-02 11:25:45
261,t2g2:114,t2g2,22.80;62.28;49;Min;,2024-07-02 11:35:45
262,t2g2:114,t2g2,22.68;62.52;49;Min;,2024-07-02 11:45:46
263,t2g2:114,t2g2,22.79;62.19;48;Min;,2024-07-02 11:55:46
264,t2g2:114,t2g2,22.79;62.11;46;Min;,2024-07-02 12:05:46
265,t2g2:114,t2g2,22.92;62.03;45;Min;,2024-07-02 12:15:47
266,t2g2:114,t2g2,22.80;62.56;43;Min;,2024-07-02 12:25:47
267,t2g2:114,t2g2,22.92;62.22;42;Min;,2024-07-02 12:35:48
268,t2g2:114,t2g2,22.91;62.15;42;Min;,2024-07-02 12:45:48
269,t2g2:114,t2g2,22.96;62.16;41;Min;,2024-07-02 12:55:48
270,t2g2:114,t2g2,22.93;62.63;40;Min;,2024-07-02 13:05:49
271,t2g2:114,t2g2,23.06;63.62;40;Min;,2024-07-02 13:15:49
272,t2g2:114,t2g2,23.12;63.10;39;Min;,2024-07-02 13:25:50
273,t2g2:114,t2g2,23.01;63.70;39;Min;,2024-07-02 13:35:50
274,t2g2:114,t2g2,23.22;63.73;39;Min;,2024-07-02 13:45:51
275,t2g2:114,t2g2,23.23;63.35;38;Min;,2024-07-02 13:55:51
276,t2g2:114,t2g2,23.46;62.90;38;Min;,2024-07-02 14:05:51
277,t2g2:114,t2g2,23.42;63.02;38;Min;,2024-07-02 14:15:52
278,t2g2:114,t2g2,23.68;63.50;37;Min;,2024-07-02 14:25:52
279,t2g2:114,t2g2,23.77;63.90;37;Min;,2024-07-02 14:35:52
280,t2g2:114,t2g2,23.89;63.44;36;Min;,2024-07-02 14:45:53
281,t2g2:114,t2g2,23.98;63.07;35;Min;,2024-07-02 14:55:53
282,t2g2:114,t2g2,24.00;63.03;35;Min;,2024-07-02 15:05:53
283,t2g2:114,t2g2,24.19;62.81;36;Min;,2024-07-02 15:15:54
284,t2g2:114,t2g2,24.32;63.05;35;Min;,2024-07-02 15:25:54
285,t2g2:114,t2g2,24.51;63.61;35;Min;,2024-07-02 15:35:55
286,t2g2:114,t2g2,24.53;63.28;36;Min;,2024-07-02 15:45:55
287,t2g2:114,t2g2,24.64;63.47;34;Min;,2024-07-02 15:55:55
288,t2g2:114,t2g2,24.72;63.61;33;Min;,2024-07-02 16:05:56
289,t2g2:114,t2g2,24.42;64.33;31;Min;,2024-07-02 16:15:56
